Jakob, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Camilla Elise Charlotte Effie Peri Beruka Selena Nyx
Silas, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Camilla Elise Charlotte Effie Peri Beruka Selena Nyx
Kaze, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Camilla Elise Charlotte Effie Peri Beruka Selena Nyx
Ryoma, Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Camilla Elise
Takumi, Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Camilla Elise
Saizo, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Charlotte Beruka
Kaden, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Charlotte Peri
Hinata, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Peri Selena
Azama, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Effie Beruka
Subaki, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Selena Nyx
Hayato, Hinoka Sakura Rinkah Orochi Kagero Hana Setsuna Oboro Felicia Azura Mozu Effie Nyx
Xander, Charlotte Effie Peri Beruka Selena Nyx Hinoka Sakura
Leo, Charlotte Effie Peri Beruka Selena Nyx Hinoka Sakura
Benny, Camilla Elise Charlotte Effie Peri Beruka Selena Nyx Felicia Azura Mozu Rinkah Oboro
Keaton, Camilla Elise Charlotte Effie Peri Beruka Selena Nyx Felicia Azura Mozu Rinkah Hana
Arthur, Camilla Elise Charlotte Effie Peri Beruka Selena Nyx Felicia Azura Mozu Kagero Setsuna
Odin, Camilla Elise Charlotte Effie Peri Beruka Selena Nyx Felicia Azura Mozu Orochi Kagero
Laslow, Camilla Elise Charlotte Effie Peri Beruka Selena Nyx Felicia Azura Mozu Orochi Hana
Niles, Camilla Elise Charlotte Effie Peri Beruka Selena Nyx Felicia Azura Mozu Setsuna Oboro
Kana, Selkie Mitama Caeldori Rhajat Sophie Midori
Shigure, Selkie Mitama Caeldori Rhajat Sophie Midori Kana
Dwyer, Selkie Mitama Caeldori Rhajat Sophie Midori Kana
Shiro, Selkie Mitama Caeldori Rhajat Sophie Midori Kana Ophelia Nina
Kiragi,Selkie Mitama Caeldori Rhajat Sophie Midori Kana Velouria Soleil
Asugi, Selkie Mitama Caeldori Rhajat Sophie Midori Kana Soleil, Nina
Hisame, Selkie Mitama Caeldori Rhajat Sophie Midori Kana Velouria, Ophelia
Siegbert, Velouria Ophelia Soliel Nina Sophie Midori Kana Mitama, Caeldori
Forrest, Velouria Ophelia Soliel Nina Sophie Midori Kana Selkie, Rhajat
Ignatius, Velouria Ophelia Soliel Nina Sophie Midori Kana Selkie, Caeldori
Percy, Velouria Ophelia Soliel Nina Sophie Midori Kana Mitama, Rhajat